"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
408,"GBTG","Global Business Travel Group Inc","Consumer Cyclical","Travel Services","USA",2913.44,25.78,5.56,1.09%,1271283
409,"GCMG","GCM Grosvenor Inc","Financial","Asset Management","USA",2095.63,28.07,10.35,-0.58%,1058953
410,"GDS","GDS Holdings Limited ADR","Technology","Information Technology Services","China",8611.86,75.01,42.86,0.09%,1436175
411,"GDV","Gabelli Dividend & Income Trust","Financial","Closed-End Fund - Equity","USA",2405.21,6.75,27.28,-0.15%,156042
412,"GEF","Greif Inc","Consumer Cyclical","Packaging & Containers","USA",3450.29,17.91,67.42,0.64%,229376
413,"GEL","Genesis Energy L.P","Energy","Oil & Gas Midstream","USA",2173.74,,17.75,-0.56%,263968
414,"GFF","Griffon Corp","Industrials","Building Products & Equipment","USA",3298.74,77.41,70.82,1.08%,339307
415,"GGAL","Grupo Financiero Galicia ADR","Financial","Banks - Regional","Argentina",5448.40,36.98,41.12,-4.62%,903655
416,"GGB","Gerdau S.A. ADR","Basic Materials","Steel","Brazil",4125.26,28.70,3.30,-2.94%,19111673
417,"GKOS","Glaukos Corporation","Healthcare","Medical Devices","USA",5634.81,,97.02,-0.79%,646412
418,"GLBE","Global E Online Ltd","Consumer Cyclical","Internet Retail","Israel",5892.96,91.21,34.78,0.72%,1182074
419,"GLNG","Golar Lng","Energy","Oil & Gas Midstream","Bermuda",4492.49,,42.94,-4.13%,1853095
420,"GLPG","Galapagos NV ADR","Healthcare","Biotechnology","Belgium",2089.69,5.32,31.71,-0.69%,177040
421,"GLXY","Galaxy Digital Inc","Financial","Capital Markets","USA",8696.30,,22.35,8.34%,7055805
422,"GNL","Global Net Lease Inc","Real Estate","REIT - Diversified","USA",2011.21,,9.39,-0.63%,1824754
423,"GNTX","Gentex Corp","Consumer Cyclical","Auto Parts","USA",4516.99,12.09,20.97,-1.60%,1845254
424,"GNW","Genworth Financial Inc","Financial","Insurance - Life","USA",3077.63,14.82,7.94,-1.98%,3247982
425,"GOF","Guggenheim Strategic Opportunities Fund","Financial","Closed-End Fund - Debt","USA",2336.72,6.37,11.02,-2.39%,2208433
426,"GOLF","Acushnet Holdings Corp","Consumer Cyclical","Leisure","USA",5447.28,30.09,93.02,0.14%,362404
427,"GPCR","Structure Therapeutics Inc ADR","Healthcare","Biotechnology","USA",3807.65,,53.75,-1.52%,587553
428,"GPGI","GPGI Inc","Industrials","Metal Fabrication","USA",4782.00,,16.51,-5.93%,7129823
429,"GPI","Group 1 Automotive, Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",3576.37,12.02,299.90,-0.34%,155030
430,"GPK","Graphic Packaging Holding Co","Consumer Cyclical","Packaging & Containers","USA",2877.56,6.57,9.73,-0.92%,8080434
431,"GPOR","Gulfport Energy Corp","Energy","Oil & Gas E&P","USA",3649.33,9.68,196.64,0.32%,324522
432,"GRBK","Green Brick Partners Inc","Consumer Cyclical","Residential Construction","USA",2806.09,9.19,65.02,1.50%,190495
433,"GRDN","Guardian Pharmacy Services Inc","Healthcare","Medical Care Facilities","USA",2063.62,41.96,32.59,-2.04%,514917
434,"GRFS","Grifols SA ADR","Healthcare","Drug Manufacturers - General","Spain",2016.70,11.59,7.81,-2.01%,917510
435,"GRND","Grindr Inc","Technology","Software - Application","USA",2208.81,27.24,11.93,-1.97%,848986
436,"GSAT","Globalstar Inc","Communication Services","Telecom Services","USA",7543.57,,58.68,2.75%,550331
